EEG_Fp1,EEG_Fp2
-0.000237,-0.000263
-0.000236,-0.000263
-0.000247,-0.000276
-0.000265,-0.000281
-0.000267,-0.000278
-0.000239,-0.000251
-0.000234,-0.000258
-0.000261,-0.000285
-0.000246,-0.000276
-0.000228,-0.000261
-0.000253,-0.000268
-0.000271,-0.000285
-0.000259,-0.000276
-0.000239,-0.000262
-0.000249,-0.000257
-0.000258,-0.000264
-0.000254,-0.000268
-0.000234,-0.000257
-0.000224,-0.000245
-0.00025,-0.000278
-0.000258,-0.000285
-0.00024,-0.000273
-0.00023,-0.00027
-0.000246,-0.000274
-0.000256,-0.000275
-0.000256,-0.000282
-0.000244,-0.00028
-0.000233,-0.000299
-0.000262,-0.000284
-0.000244,-0.000249
-0.000219,-0.000218
-0.000234,-0.000248
-0.000251,-0.000259
-0.000247,-0.000263
-0.000223,-0.000245
-0.000228,-0.000242
-0.000238,-0.000258
-0.000248,-0.000283
-0.000236,-0.000263
-0.00021,-0.000232
-0.000218,-0.000229
-0.000245,-0.000265
-0.000213,-0.000234
-0.000199,-0.000224
-0.000219,-0.00024
-0.000239,-0.000275
-0.000244,-0.000279
-0.000211,-0.000239
-0.000207,-0.000231
-0.000224,-0.000234
-0.000228,-0.000262
-0.000207,-0.000249
-0.000217,-0.000246
-0.000227,-0.00025
-0.000228,-0.000238
-0.00021,-0.000224
-0.00019,-0.000211
-0.000208,-0.000241
-0.000256,-0.000287
-0.000238,-0.000265
-0.00019,-0.00024
-0.000195,-0.000245
-0.000204,-0.000255
-0.000188,-0.000253
-0.000163,-0.000206
-0.000141,-0.000173
-0.000139,-0.000181
-0.00013,-0.000182
-9.7e-05,-0.000148
-8.1e-05,-0.000125
-0.000112,-0.000165
-0.000122,-0.000171
-0.000119,-0.000165
-0.000102,-0.000144
-0.000118,-0.00017
-0.000136,-0.000201
-0.000126,-0.000179
-0.000101,-0.000149
-0.00013,-0.000164
-0.000148,-0.000181
-0.000138,-0.000188
-0.000117,-0.000171
-0.000123,-0.000179
-0.00014,-0.000202
-0.000139,-0.000185
-0.000146,-0.000195
-0.000136,-0.000175
-0.000148,-0.000207
-0.00017,-0.000242
-0.000147,-0.000194
-0.000127,-0.000175
-0.000138,-0.000185
-0.000169,-0.000218
-0.000161,-0.000227
-0.000143,-0.000176
-0.000134,-0.000168
-0.000173,-0.000212
-0.000148,-0.0002
-0.000135,-0.000198
-0.000151,-0.000202
-0.000173,-0.000218
-0.00018,-0.000234
-0.000142,-0.000175
-0.00014,-0.00016
-0.000152,-0.000179
-0.000152,-0.000196
-0.000155,-0.000219
-0.000145,-0.000211
-0.000162,-0.000206
-0.000173,-0.000199
-0.000165,-0.000221
-0.000135,-0.000213
-0.000148,-0.000187
-0.000183,-0.000207
-0.000165,-0.000189
-0.000155,-0.000178
-0.000163,-0.000198
-0.000196,-0.000241
-0.000187,-0.000234
-0.000155,-0.000211
-0.000139,-0.000195
-0.000159,-0.000211
-0.00018,-0.000236
-0.000145,-0.000205
-0.000143,-0.000208
-0.000155,-0.000215
-0.000183,-0.000236
-0.000159,-0.000217
-0.000128,-0.000192
-0.000172,-0.000233
-0.000182,-0.000236
-0.000165,-0.000214
-0.000152,-0.000201
-0.00017,-0.000216
-0.000188,-0.000234
-0.000206,-0.000257
-0.000165,-0.000218
-0.00016,-0.000215
-0.000189,-0.000234
-0.000202,-0.000244
-0.000179,-0.000249
-0.000156,-0.000219
-0.000187,-0.000233
-0.000215,-0.000243
-0.000187,-0.000209
-0.000165,-0.000194
-0.00018,-0.000218
-0.000197,-0.000232
-0.000193,-0.000232
-0.000179,-0.00022
-0.000186,-0.000224
-0.000197,-0.000242
-0.000207,-0.000253
-0.000186,-0.000234
-0.00018,-0.000226
-0.000205,-0.000242
-0.000205,-0.000252
-0.000193,-0.000229
-0.000171,-0.000221
-0.000171,-0.000241
-0.000188,-0.000234
-0.000184,-0.000233
-0.00018,-0.00024
-0.000191,-0.000227
-0.000203,-0.000223
-0.000194,-0.000216
-0.000176,-0.000196
-0.000188,-0.000213
-0.000194,-0.000239
-0.000205,-0.000247
-0.000194,-0.000235
-0.000178,-0.000211
-0.000195,-0.000236
-0.00022,-0.000255
-0.000204,-0.000243
-0.000202,-0.000227
-0.000191,-0.000228
-0.000214,-0.000256
-0.000209,-0.000248
-0.000198,-0.000234
